low,high
0.262976373,0.134083519
-0.207845404,-0.376053491
-0.121486199,-0.123067926
-0.105286753,-0.083926253
0.199532669,-0.062009043
-1.686371991,0.890194894
0.096016503,0.134254826
-0.368607335,0.212968293
0.048588239,0.070632935
0.114908268,0.469115658
-0.252703126,0.029277558
0.342320895,0.679342497
-0.19112904,-0.245766914
0.181420334,-0.064849519
-1.387264174,0.182144705
-0.150421923,0.070591883
0.048116641,-0.032291369
-0.10149983,0.071825515
-1.635854775,0.392241187
-0.19112904,-0.245766914
0.049225608,0.097549572
0.073360663,0.005502386
-0.040387409,-0.034396959
0.039853834,0.335004723
0.128176877,-0.111904002
-0.014410092,-0.049210052
-0.197778022,0.237419682
0.260685172,-0.246273318
0.128176877,-0.111904002
0.550930766,0.159282906
-0.036292495,-0.015551124
0.291441444,0.095471847
0.014547897,0.021060614
0.189039258,-0.051956062
0.492449578,0.0046837
0.008690549,-0.197770105
