low,high
14.1282656,21.9619143
5.882748247,26.43480186
-2.946321473,-1.844973244
-13.16821224,3.551914646
69.96492288,37.20305123
-327.4592321,89.12196208
12.84189483,12.70978514
30.90359967,37.29754387
17.97397107,-3.881063366
54.93839544,33.63767038
5.565634367,13.03248687
58.97500514,83.47495665
-27.27389839,24.66494314
-17.55212539,5.538773742
101.2998547,115.3689339
0.060360092,5.533267516
21.63516845,11.88692033
4.031780527,-2.280263769
82.31666867,18.22036635
-27.27389839,24.66494314
-7.778871066,39.72738696
18.06441421,11.07949266
-40.32160336,37.48968035
55.96904969,64.09009766
14.85356524,16.65334222
-4.529924982,3.891331535
-0.057128556,40.21302116
7.137974262,33.34210392
14.85356524,16.65334222
37.07326618,1.940166238
6.190169114,-0.147413094
42.44237404,46.67742791
12.45686393,-5.330077576
10.63924651,9.7670607
5.827357605,-0.969494519
34.42309304,24.85826075
