low,high
0.15073076,0.156456817
-0.152516485,0.124998833
-0.008700245,-0.055390944
-0.15843528,-0.071661498
0.371963693,0.235783894
-3.489409928,0.890194894
0.107545557,0.068386993
-0.181527131,0.183369173
0.144607379,-0.039825919
0.593174711,0.243573219
0.001582491,-0.01740531
0.412157681,0.754143136
-0.303937476,0.201745766
-0.165842848,0.052415674
0.913580873,1.061973537
-0.068094222,0.00403741
0.185355943,0.091305526
0.036831805,-0.018153264
0.902571619,0.191081296
-0.303937476,0.201745766
-0.181223844,0.363656539
0.140810091,-0.062186114
-0.494045551,0.171889344
0.439867054,0.438653468
0.110779144,0.109780905
-0.096831992,0.004785831
0.008248871,0.472083735
0.073632637,0.118848724
0.110779144,0.109780905
0.214276263,-0.053459721
0.050368342,0.000459874
0.313159524,0.379798073
0.035924674,-0.112570277
0.084472813,0.025136347
0.00256887,-0.072541273
0.156709972,0.131225591
