low,high
66.24661417,20.58555388
-27.95515835,-27.84064579
7.6179503,7.034129105
-4.266992517,1.904675279
47.89682898,-2.285369539
-123.7335621,89.12196208
12.95200766,22.0925268
4.953770449,47.34268034
11.35716073,10.40171566
38.13941131,78.21698292
11.75908222,53.60459173
54.78268621,80.03026755
-0.165639761,-16.69959083
83.1794754,42.59159291
-138.6028245,6.640751752
29.15480139,48.51399336
7.925372892,-0.802971468
-9.439585569,2.407636859
-148.3884121,52.10560303
-0.165639761,-16.69959083
32.37210892,15.75406771
7.709659863,13.00015898
8.482972592,17.81140686
24.17018497,49.67201986
11.47008834,-3.902996425
31.79811183,16.37880735
-18.2548322,34.04040219
13.78072999,2.125169874
11.47008834,-3.902996425
77.16783858,34.62379147
-0.251419171,-3.881731453
46.27405531,35.81873953
17.0002298,4.722660929
59.04669251,57.38999757
109.3975684,36.73547339
17.34552577,5.18012897
