low,high
11.3560777,0.125900062
-1.396083128,9.495194296
19.40141294,1.894990211
5.730304077,-5.32612234
-2.997061002,6.087228233
19.65001976,5.971944339
-3.829269588,-0.347709655
4.584674223,2.831290139
-11.09943102,13.58322692
6.430037957,6.37320325
19.89936697,17.03145784
7.424670624,4.475130144
-2.864616246,-3.606634949
6.099513613,1.9852561
6.585790054,48.58672061
9.556207242,9.124933414
19.89936697,17.03145784
4.123593186,16.73566358
2.992181803,9.940678331
29.98855985,10.70040174
13.65791647,2.091751358
6.740887935,13.30769374
-17.9738471,33.0300824
2.116893506,-3.45845946
7.787433368,2.714661229
3.34952045,-6.824015887
-17.9738471,33.0300824
-2.719843673,0.105522348
14.13444591,23.5257473
-9.965721813,5.977975694
19.92314436,5.176086848
13.94301678,10.84672456
-2.055653248,13.71641666
